Fault: , U3Gate threshold fault at 0, threshold parameter: 6.283185307179586 4.71238898038469 6.283185307179586
faulty_matrix, [[ 1.0000000e+00+0.j  0.0000000e+00-0.j] [ 0.0000000e+00-0.j -1.8369702e-16-1.j]]
faultfree_matrix, [[1.+0.0000000e+00j 0.-0.0000000e+00j] [0.+0.0000000e+00j 1.-2.4492936e-16j]]
faulty_quantum_state, [0.72213058+0.01492263j 0.24259806-0.64765031j]
faultfree_quantum_state, [0.69214734+0.01506061j 0.67556809+0.25360008j]
theta, phi, lam, score 
-3.141592653589793, -2.5132741228718345, -1.5707963267948966, 0.003595603648100296
-3.141592653589793, -2.5132741228718345, -1.2566370614359172, 0.0035956036481002915
-3.141592653589793, -2.5132741228718345, -0.9424777960769379, 0.0035956036481003054
-3.141592653589793, -2.5132741228718345, -0.6283185307179586, 0.003595603648100282
-3.141592653589793, -2.5132741228718345, -0.3141592653589793, 0.0035956036481002915
-3.141592653589793, -2.5132741228718345, 0.0, 0.0035956036481002915
-3.141592653589793, -2.5132741228718345, 0.3141592653589793, 0.0035956036481002867
-3.141592653589793, -2.5132741228718345, 0.6283185307179586, 0.0035956036481003054
-3.141592653589793, -2.5132741228718345, 0.9424777960769379, 0.0035956036481002867
-3.141592653589793, -2.5132741228718345, 1.2566370614359172, 0.003595603648100296
-3.141592653589793, -2.5132741228718345, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, -2.5132741228718345, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, -2.5132741228718345, 2.199114857512855, 0.003595603648100282
-3.141592653589793, -2.5132741228718345, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, -2.5132741228718345, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, -2.5132741228718345, 3.141592653589793, 0.0035956036481002915
-3.141592653589793, -2.199114857512855, -3.141592653589793, 0.0035956036481002915
-3.141592653589793, -2.199114857512855, -2.827433388230814, 0.0035956036481002863
-3.141592653589793, -2.199114857512855, -2.5132741228718345, 0.0035956036481002863
-3.141592653589793, -2.199114857512855, -2.199114857512855, 0.003595603648100277
-3.141592653589793, -2.199114857512855, -1.8849555921538759, 0.003595603648100296
-3.141592653589793, -2.199114857512855, -1.5707963267948966, 0.003595603648100282
-3.141592653589793, -2.199114857512855, -1.2566370614359172, 0.003595603648100277
-3.141592653589793, -2.199114857512855, -0.9424777960769379, 0.0035956036481002915
-3.141592653589793, -2.199114857512855, -0.6283185307179586, 0.003595603648100268
-3.141592653589793, -2.199114857512855, -0.3141592653589793, 0.003595603648100277
-3.141592653589793, -2.199114857512855, 0.0, 0.0035956036481002724
-3.141592653589793, -2.199114857512855, 0.3141592653589793, 0.003595603648100268
-3.141592653589793, -2.199114857512855, 0.6283185307179586, 0.0035956036481002867
-3.141592653589793, -2.199114857512855, 0.9424777960769379, 0.003595603648100268
-3.141592653589793, -2.199114857512855, 1.2566370614359172, 0.003595603648100268
-3.141592653589793, -2.199114857512855, 1.5707963267948966, 0.003595603648100268
-3.141592653589793, -2.199114857512855, 1.8849555921538759, 0.0035956036481002585
-3.141592653589793, -2.199114857512855, 2.199114857512855, 0.003595603648100268
-3.141592653589793, -2.199114857512855, 2.5132741228718345, 0.0035956036481002585
-3.141592653589793, -2.199114857512855, 2.827433388230814, 0.003595603648100277
-3.141592653589793, -2.199114857512855, 3.141592653589793, 0.0035956036481002915
-3.141592653589793, -1.8849555921538759, -3.141592653589793, 0.0035956036481002867
-3.141592653589793, -1.8849555921538759, -2.827433388230814, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, -2.5132741228718345, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, -2.199114857512855, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, -1.8849555921538759, 0.0035956036481003054
-3.141592653589793, -1.8849555921538759, -1.5707963267948966, 0.0035956036481002915
-3.141592653589793, -1.8849555921538759, -1.2566370614359172, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, -0.9424777960769379, 0.003595603648100296
-3.141592653589793, -1.8849555921538759, -0.6283185307179586, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, -0.3141592653589793, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, 0.0, 0.003595603648100277
-3.141592653589793, -1.8849555921538759, 0.3141592653589793, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, 0.6283185307179586, 0.0035956036481002915
-3.141592653589793, -1.8849555921538759, 0.9424777960769379, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, 2.199114857512855, 0.003595603648100282
-3.141592653589793, -1.8849555921538759, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, -1.8849555921538759, 3.141592653589793, 0.0035956036481002867
-3.141592653589793, -1.5707963267948966, -3.141592653589793, 0.0035956036481002867
-3.141592653589793, -1.5707963267948966, -2.827433388230814, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, -2.5132741228718345, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, -2.199114857512855, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, -1.8849555921538759, 0.003595603648100301
-3.141592653589793, -1.5707963267948966, -1.5707963267948966, 0.0035956036481002867
-3.141592653589793, -1.5707963267948966, -1.2566370614359172, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, -0.9424777960769379, 0.003595603648100296
-3.141592653589793, -1.5707963267948966, -0.6283185307179586, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, -0.3141592653589793, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, 0.0, 0.003595603648100277
-3.141592653589793, -1.5707963267948966, 0.3141592653589793, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, 0.6283185307179586, 0.0035956036481002915
-3.141592653589793, -1.5707963267948966, 0.9424777960769379, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, 2.199114857512855, 0.003595603648100282
-3.141592653589793, -1.5707963267948966, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, -1.5707963267948966, 3.141592653589793, 0.0035956036481002867
-3.141592653589793, -1.2566370614359172, -3.141592653589793, 0.0035956036481002867
-3.141592653589793, -1.2566370614359172, -2.827433388230814, 0.003595603648100282
-3.141592653589793, -1.2566370614359172, -2.5132741228718345, 0.003595603648100277
-3.141592653589793, -1.2566370614359172, -2.199114857512855, 0.003595603648100268
-3.141592653589793, -1.2566370614359172, -1.8849555921538759, 0.003595603648100301
-3.141592653589793, -1.2566370614359172, -1.5707963267948966, 0.0035956036481002867
-3.141592653589793, -1.2566370614359172, -1.2566370614359172, 0.003595603648100282
-3.141592653589793, -1.2566370614359172, -0.9424777960769379, 0.003595603648100296
-3.141592653589793, -1.2566370614359172, -0.6283185307179586, 0.0035956036481002724
-3.141592653589793, -1.2566370614359172, -0.3141592653589793, 0.003595603648100282
-3.141592653589793, -1.2566370614359172, 0.0, 0.003595603648100277
-3.141592653589793, -1.2566370614359172, 0.3141592653589793, 0.0035956036481002724
-3.141592653589793, -1.2566370614359172, 0.6283185307179586, 0.0035956036481002915
-3.141592653589793, -1.2566370614359172, 0.9424777960769379, 0.0035956036481002724
-3.141592653589793, -1.2566370614359172, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, -1.2566370614359172, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, -1.2566370614359172, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, -1.2566370614359172, 2.199114857512855, 0.003595603648100282
-3.141592653589793, -1.2566370614359172, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, -1.2566370614359172, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, -1.2566370614359172, 3.141592653589793, 0.0035956036481002867
-3.141592653589793, -0.9424777960769379, -3.141592653589793, 0.003595603648100282
-3.141592653589793, -0.9424777960769379, -2.827433388230814, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, -2.5132741228718345, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, -2.199114857512855, 0.003595603648100268
-3.141592653589793, -0.9424777960769379, -1.8849555921538759, 0.003595603648100296
-3.141592653589793, -0.9424777960769379, -1.5707963267948966, 0.0035956036481002915
-3.141592653589793, -0.9424777960769379, -1.2566370614359172, 0.0035956036481002863
-3.141592653589793, -0.9424777960769379, -0.9424777960769379, 0.0035956036481003006
-3.141592653589793, -0.9424777960769379, -0.6283185307179586, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, -0.3141592653589793, 0.0035956036481002863
-3.141592653589793, -0.9424777960769379, 0.0, 0.003595603648100282
-3.141592653589793, -0.9424777960769379, 0.3141592653589793, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, 0.6283185307179586, 0.003595603648100296
-3.141592653589793, -0.9424777960769379, 0.9424777960769379, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, 1.2566370614359172, 0.0035956036481002863
-3.141592653589793, -0.9424777960769379, 1.5707963267948966, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, 1.8849555921538759, 0.003595603648100268
-3.141592653589793, -0.9424777960769379, 2.199114857512855, 0.003595603648100277
-3.141592653589793, -0.9424777960769379, 2.5132741228718345, 0.003595603648100268
-3.141592653589793, -0.9424777960769379, 2.827433388230814, 0.003595603648100268
-3.141592653589793, -0.9424777960769379, 3.141592653589793, 0.003595603648100282
-3.141592653589793, -0.6283185307179586, -3.141592653589793, 0.003595603648100282
-3.141592653589793, -0.6283185307179586, -2.827433388230814, 0.003595603648100277
-3.141592653589793, -0.6283185307179586, -2.5132741228718345, 0.003595603648100277
-3.141592653589793, -0.6283185307179586, -2.199114857512855, 0.003595603648100268
-3.141592653589793, -0.6283185307179586, -1.8849555921538759, 0.003595603648100296
-3.141592653589793, -0.6283185307179586, -1.5707963267948966, 0.003595603648100282
-3.141592653589793, -0.6283185307179586, -1.2566370614359172, 0.003595603648100277
-3.141592653589793, -0.6283185307179586, -0.9424777960769379, 0.0035956036481002915
-3.141592653589793, -0.6283185307179586, -0.6283185307179586, 0.003595603648100268
-3.141592653589793, -0.6283185307179586, -0.3141592653589793, 0.003595603648100268
-3.141592653589793, -0.6283185307179586, 0.0, 0.003595603648100263
-3.141592653589793, -0.6283185307179586, 0.3141592653589793, 0.0035956036481002585
-3.141592653589793, -0.6283185307179586, 0.6283185307179586, 0.0035956036481002776
-3.141592653589793, -0.6283185307179586, 0.9424777960769379, 0.0035956036481002585
-3.141592653589793, -0.6283185307179586, 1.2566370614359172, 0.0035956036481002724
-3.141592653589793, -0.6283185307179586, 1.5707963267948966, 0.0035956036481002724
-3.141592653589793, -0.6283185307179586, 1.8849555921538759, 0.003595603648100263
-3.141592653589793, -0.6283185307179586, 2.199114857512855, 0.0035956036481002724
-3.141592653589793, -0.6283185307179586, 2.5132741228718345, 0.003595603648100263
-3.141592653589793, -0.6283185307179586, 2.827433388230814, 0.003595603648100268
-3.141592653589793, -0.6283185307179586, 3.141592653589793, 0.003595603648100282
-3.141592653589793, -0.3141592653589793, -3.141592653589793, 0.0035956036481002915
-3.141592653589793, -0.3141592653589793, -2.827433388230814, 0.0035956036481002863
-3.141592653589793, -0.3141592653589793, -2.5132741228718345, 0.0035956036481002863
-3.141592653589793, -0.3141592653589793, -2.199114857512855, 0.003595603648100277
-3.141592653589793, -0.3141592653589793, -1.8849555921538759, 0.0035956036481003054
-3.141592653589793, -0.3141592653589793, -1.5707963267948966, 0.0035956036481002915
-3.141592653589793, -0.3141592653589793, -1.2566370614359172, 0.003595603648100277
-3.141592653589793, -0.3141592653589793, -0.9424777960769379, 0.0035956036481002915
-3.141592653589793, -0.3141592653589793, -0.6283185307179586, 0.003595603648100268
-3.141592653589793, -0.3141592653589793, -0.3141592653589793, 0.003595603648100277
-3.141592653589793, -0.3141592653589793, 0.0, 0.0035956036481002724
-3.141592653589793, -0.3141592653589793, 0.3141592653589793, 0.003595603648100268
-3.141592653589793, -0.3141592653589793, 0.6283185307179586, 0.0035956036481002867
-3.141592653589793, -0.3141592653589793, 0.9424777960769379, 0.003595603648100268
-3.141592653589793, -0.3141592653589793, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, -0.3141592653589793, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, -0.3141592653589793, 1.8849555921538759, 0.003595603648100277
-3.141592653589793, -0.3141592653589793, 2.199114857512855, 0.0035956036481002863
-3.141592653589793, -0.3141592653589793, 2.5132741228718345, 0.003595603648100277
-3.141592653589793, -0.3141592653589793, 2.827433388230814, 0.003595603648100277
-3.141592653589793, -0.3141592653589793, 3.141592653589793, 0.0035956036481002915
-3.141592653589793, 0.0, -3.141592653589793, 0.0035956036481002867
-3.141592653589793, 0.0, -2.827433388230814, 0.003595603648100282
-3.141592653589793, 0.0, -2.5132741228718345, 0.003595603648100282
-3.141592653589793, 0.0, -2.199114857512855, 0.0035956036481002724
-3.141592653589793, 0.0, -1.8849555921538759, 0.003595603648100301
-3.141592653589793, 0.0, -1.5707963267948966, 0.0035956036481002867
-3.141592653589793, 0.0, -1.2566370614359172, 0.003595603648100282
-3.141592653589793, 0.0, -0.9424777960769379, 0.003595603648100296
-3.141592653589793, 0.0, -0.6283185307179586, 0.0035956036481002724
-3.141592653589793, 0.0, -0.3141592653589793, 0.003595603648100282
-3.141592653589793, 0.0, 0.0, 0.003595603648100277
-3.141592653589793, 0.0, 0.3141592653589793, 0.0035956036481002724
-3.141592653589793, 0.0, 0.6283185307179586, 0.0035956036481002915
-3.141592653589793, 0.0, 0.9424777960769379, 0.0035956036481002724
-3.141592653589793, 0.0, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, 0.0, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, 0.0, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, 0.0, 2.199114857512855, 0.003595603648100282
-3.141592653589793, 0.0, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, 0.0, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, 0.0, 3.141592653589793, 0.0035956036481002867
-3.141592653589793, 0.3141592653589793, -3.141592653589793, 0.0035956036481002867
-3.141592653589793, 0.3141592653589793, -2.827433388230814, 0.003595603648100282
-3.141592653589793, 0.3141592653589793, -2.5132741228718345, 0.003595603648100282
-3.141592653589793, 0.3141592653589793, -2.199114857512855, 0.0035956036481002724
-3.141592653589793, 0.3141592653589793, -1.8849555921538759, 0.003595603648100301
-3.141592653589793, 0.3141592653589793, -1.5707963267948966, 0.0035956036481002867
-3.141592653589793, 0.3141592653589793, -1.2566370614359172, 0.003595603648100282
-3.141592653589793, 0.3141592653589793, -0.9424777960769379, 0.003595603648100296
-3.141592653589793, 0.3141592653589793, -0.6283185307179586, 0.0035956036481002724
-3.141592653589793, 0.3141592653589793, -0.3141592653589793, 0.0035956036481002863
-3.141592653589793, 0.3141592653589793, 0.0, 0.003595603648100282
-3.141592653589793, 0.3141592653589793, 0.3141592653589793, 0.003595603648100277
-3.141592653589793, 0.3141592653589793, 0.6283185307179586, 0.003595603648100296
-3.141592653589793, 0.3141592653589793, 0.9424777960769379, 0.003595603648100277
-3.141592653589793, 0.3141592653589793, 1.2566370614359172, 0.0035956036481002863
-3.141592653589793, 0.3141592653589793, 1.5707963267948966, 0.0035956036481002863
-3.141592653589793, 0.3141592653589793, 1.8849555921538759, 0.003595603648100277
-3.141592653589793, 0.3141592653589793, 2.199114857512855, 0.003595603648100282
-3.141592653589793, 0.3141592653589793, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, 0.3141592653589793, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, 0.3141592653589793, 3.141592653589793, 0.0035956036481002867
-3.141592653589793, 0.6283185307179586, -3.141592653589793, 0.003595603648100282
-3.141592653589793, 0.6283185307179586, -2.827433388230814, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, -2.5132741228718345, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, -2.199114857512855, 0.003595603648100268
-3.141592653589793, 0.6283185307179586, -1.8849555921538759, 0.003595603648100296
-3.141592653589793, 0.6283185307179586, -1.5707963267948966, 0.0035956036481002915
-3.141592653589793, 0.6283185307179586, -1.2566370614359172, 0.0035956036481002863
-3.141592653589793, 0.6283185307179586, -0.9424777960769379, 0.0035956036481003006
-3.141592653589793, 0.6283185307179586, -0.6283185307179586, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, -0.3141592653589793, 0.0035956036481002863
-3.141592653589793, 0.6283185307179586, 0.0, 0.003595603648100282
-3.141592653589793, 0.6283185307179586, 0.3141592653589793, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, 0.6283185307179586, 0.003595603648100296
-3.141592653589793, 0.6283185307179586, 0.9424777960769379, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, 1.2566370614359172, 0.0035956036481002863
-3.141592653589793, 0.6283185307179586, 1.5707963267948966, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, 1.8849555921538759, 0.003595603648100268
-3.141592653589793, 0.6283185307179586, 2.199114857512855, 0.003595603648100277
-3.141592653589793, 0.6283185307179586, 2.5132741228718345, 0.003595603648100268
-3.141592653589793, 0.6283185307179586, 2.827433388230814, 0.003595603648100268
-3.141592653589793, 0.6283185307179586, 3.141592653589793, 0.003595603648100282
-3.141592653589793, 0.9424777960769379, -3.141592653589793, 0.003595603648100282
-3.141592653589793, 0.9424777960769379, -2.827433388230814, 0.003595603648100277
-3.141592653589793, 0.9424777960769379, -2.5132741228718345, 0.003595603648100277
-3.141592653589793, 0.9424777960769379, -2.199114857512855, 0.003595603648100268
-3.141592653589793, 0.9424777960769379, -1.8849555921538759, 0.003595603648100296
-3.141592653589793, 0.9424777960769379, -1.5707963267948966, 0.003595603648100282
-3.141592653589793, 0.9424777960769379, -1.2566370614359172, 0.003595603648100277
-3.141592653589793, 0.9424777960769379, -0.9424777960769379, 0.0035956036481002915
-3.141592653589793, 0.9424777960769379, -0.6283185307179586, 0.003595603648100268
-3.141592653589793, 0.9424777960769379, -0.3141592653589793, 0.003595603648100268
-3.141592653589793, 0.9424777960769379, 0.0, 0.003595603648100263
-3.141592653589793, 0.9424777960769379, 0.3141592653589793, 0.0035956036481002585
-3.141592653589793, 0.9424777960769379, 0.6283185307179586, 0.0035956036481002776
-3.141592653589793, 0.9424777960769379, 0.9424777960769379, 0.0035956036481002585
-3.141592653589793, 0.9424777960769379, 1.2566370614359172, 0.0035956036481002724
-3.141592653589793, 0.9424777960769379, 1.5707963267948966, 0.0035956036481002724
-3.141592653589793, 0.9424777960769379, 1.8849555921538759, 0.003595603648100263
-3.141592653589793, 0.9424777960769379, 2.199114857512855, 0.0035956036481002724
-3.141592653589793, 0.9424777960769379, 2.5132741228718345, 0.003595603648100263
-3.141592653589793, 0.9424777960769379, 2.827433388230814, 0.003595603648100268
-3.141592653589793, 0.9424777960769379, 3.141592653589793, 0.003595603648100282
-3.141592653589793, 1.2566370614359172, -3.141592653589793, 0.0035956036481002915
-3.141592653589793, 1.2566370614359172, -2.827433388230814, 0.0035956036481002863
-3.141592653589793, 1.2566370614359172, -2.5132741228718345, 0.0035956036481002863
-3.141592653589793, 1.2566370614359172, -2.199114857512855, 0.003595603648100277
-3.141592653589793, 1.2566370614359172, -1.8849555921538759, 0.0035956036481003054
-3.141592653589793, 1.2566370614359172, -1.5707963267948966, 0.0035956036481002915
-3.141592653589793, 1.2566370614359172, -1.2566370614359172, 0.0035956036481002863
-3.141592653589793, 1.2566370614359172, -0.9424777960769379, 0.0035956036481003006
-3.141592653589793, 1.2566370614359172, -0.6283185307179586, 0.003595603648100277
-3.141592653589793, 1.2566370614359172, -0.3141592653589793, 0.0035956036481002863
-3.141592653589793, 1.2566370614359172, 0.0, 0.0035956036481002724
-3.141592653589793, 1.2566370614359172, 0.3141592653589793, 0.0035956036481002724
-3.141592653589793, 1.2566370614359172, 0.6283185307179586, 0.0035956036481002915
-3.141592653589793, 1.2566370614359172, 0.9424777960769379, 0.0035956036481002724
-3.141592653589793, 1.2566370614359172, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, 1.2566370614359172, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, 1.2566370614359172, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, 1.2566370614359172, 2.199114857512855, 0.003595603648100282
-3.141592653589793, 1.2566370614359172, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, 1.2566370614359172, 2.827433388230814, 0.003595603648100277
-3.141592653589793, 1.2566370614359172, 3.141592653589793, 0.0035956036481002915
-3.141592653589793, 1.5707963267948966, -3.141592653589793, 0.0035956036481002867
-3.141592653589793, 1.5707963267948966, -2.827433388230814, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, -2.5132741228718345, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, -2.199114857512855, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, -1.8849555921538759, 0.003595603648100301
-3.141592653589793, 1.5707963267948966, -1.5707963267948966, 0.0035956036481002867
-3.141592653589793, 1.5707963267948966, -1.2566370614359172, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, -0.9424777960769379, 0.003595603648100296
-3.141592653589793, 1.5707963267948966, -0.6283185307179586, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, -0.3141592653589793, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, 0.0, 0.003595603648100277
-3.141592653589793, 1.5707963267948966, 0.3141592653589793, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, 0.6283185307179586, 0.0035956036481002915
-3.141592653589793, 1.5707963267948966, 0.9424777960769379, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, 1.2566370614359172, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, 1.8849555921538759, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, 2.199114857512855, 0.003595603648100282
-3.141592653589793, 1.5707963267948966, 2.5132741228718345, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, 2.827433388230814, 0.0035956036481002724
-3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.0035956036481002867
-3.141592653589793, 1.8849555921538759, -3.141592653589793, 0.003595603648100296
-3.141592653589793, 1.8849555921538759, -2.827433388230814, 0.0035956036481002915
-3.141592653589793, 1.8849555921538759, -2.5132741228718345, 0.0035956036481002915
-3.141592653589793, 1.8849555921538759, -2.199114857512855, 0.003595603648100282
-3.141592653589793, 1.8849555921538759, -1.8849555921538759, 0.00359560364810031
-3.141592653589793, 1.8849555921538759, -1.5707963267948966, 0.003595603648100296
-3.141592653589793, 1.8849555921538759, -1.2566370614359172, 0.0035956036481002915
-3.141592653589793, 1.8849555921538759, -0.9424777960769379, 0.00359560364810031
-3.141592653589793, 1.8849555921538759, -0.6283185307179586, 0.0035956036481002867
-3.141592653589793, 1.8849555921538759, -0.3141592653589793, 0.003595603648100296
-3.141592653589793, 1.8849555921538759, 0.0, 0.0035956036481002915
-3.141592653589793, 1.8849555921538759, 0.3141592653589793, 0.0035956036481002867
-3.141592653589793, 1.8849555921538759, 0.6283185307179586, 0.0035956036481003054
