Fault: , U3Gate variation fault at 0, ratio parameter: 1 1 1, bias parameter: 0 0.3141592653589793 0
faulty_matrix, [[1.        +0.j         0.        -0.j        ] [0.        +0.j         0.95105652+0.30901699j]]
faultfree_matrix, [[1.+0.j 0.-0.j] [0.+0.j 1.+0.j]]
faulty_quantum_state, [0.9999875 +0.j         0.00401548+0.00297922j]
faultfree_quantum_state, [0.9999875 +0.00000000e+00j 0.00499973+4.99989583e-05j]
theta, phi, lam, score 
-3.141592653589793, -2.827433388230814, -3.141592653589793, 1.232597001117754e-32
-3.141592653589793, -2.827433388230814, -2.827433388230814, 1.2326007893319706e-32
-3.141592653589793, -2.827433388230814, -2.5132741228718345, 1.2326057438569883e-32
-3.141592653589793, -2.827433388230814, -2.199114857512855, 1.2326085540231708e-32
-3.141592653589793, -2.827433388230814, -1.8849555921538759, 1.2326103459632896e-32
-3.141592653589793, -2.827433388230814, -1.5707963267948966, 1.2326090545266248e-32
-3.141592653589793, -2.827433388230814, -1.2566370614359172, 1.2326053076383816e-32
-3.141592653589793, -2.827433388230814, -0.9424777960769379, 1.232600317527109e-32
-3.141592653589793, -2.827433388230814, -0.6283185307179586, 1.232596735942759e-32
-3.141592653589793, -2.827433388230814, -0.3141592653589793, 1.2325951655557746e-32
-3.141592653589793, -2.827433388230814, 0.0, 1.2325964145185224e-32
-3.141592653589793, -2.827433388230814, 0.3141592653589793, 1.2326000144699718e-32
-3.141592653589793, -2.827433388230814, 0.6283185307179586, 1.232604670529627e-32
-3.141592653589793, -2.827433388230814, 0.9424777960769379, 1.2326071076141063e-32
-3.141592653589793, -2.827433388230814, 1.2566370614359172, 1.232608803126954e-32
-3.141592653589793, -2.827433388230814, 1.5707963267948966, 1.2326075805669115e-32
-3.141592653589793, -2.827433388230814, 1.8849555921538759, 1.2326038531937112e-32
-3.141592653589793, -2.827433388230814, 2.199114857512855, 1.2325998663852342e-32
-3.141592653589793, -2.827433388230814, 2.5132741228718345, 1.2325961298284843e-32
-3.141592653589793, -2.827433388230814, 2.827433388230814, 1.2325951747393243e-32
-3.141592653589793, -2.827433388230814, 3.141592653589793, 1.2325968220385366e-32
-3.141592653589793, -2.5132741228718345, -3.141592653589793, 4.930382494341247e-32
-3.141592653589793, -2.5132741228718345, -2.827433388230814, 4.930386282555463e-32
-3.141592653589793, -2.5132741228718345, -2.5132741228718345, 4.930391237080481e-32
-3.141592653589793, -2.5132741228718345, -2.199114857512855, 4.930394047246664e-32
-3.141592653589793, -2.5132741228718345, -1.8849555921538759, 4.930395839186782e-32
-3.141592653589793, -2.5132741228718345, -1.5707963267948966, 4.930394547750118e-32
-3.141592653589793, -2.5132741228718345, -1.2566370614359172, 4.930390800861874e-32
-3.141592653589793, -2.5132741228718345, -0.9424777960769379, 4.930385810750602e-32
-3.141592653589793, -2.5132741228718345, -0.6283185307179586, 4.930382229166252e-32
-3.141592653589793, -2.5132741228718345, -0.3141592653589793, 4.930380658779267e-32
