Fault: , U3Gate variation fault at 0, ratio parameter: 1 1 1, bias parameter: 0.3141592653589793 0 0
faulty_matrix, [[ 0.98768834+0.j -0.15643447-0.j] [ 0.15643447+0.j  0.98768834+0.j]]
faultfree_matrix, [[1.+0.j 0.-0.j] [0.+0.j 1.+0.j]]
faulty_quantum_state, [1 0]
faultfree_quantum_state, [1 0]
theta, phi, lam, score 
-3.141592653589793, 0.9424777960769379, 0.0, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 0.3141592653589793, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 0.6283185307179586, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 0.9424777960769379, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 1.2566370614359172, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 1.5707963267948966, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 1.8849555921538759, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 2.199114857512855, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 2.5132741228718345, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 2.827433388230814, 0.011494312182559807
-3.141592653589793, 0.9424777960769379, 3.141592653589793, 0.011494312182559807
-3.141592653589793, 1.2566370614359172, -3.141592653589793, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -2.827433388230814, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -2.5132741228718345, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -2.199114857512855, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -1.8849555921538759, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -1.5707963267948966, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -1.2566370614359172, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -0.9424777960769379, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -0.6283185307179586, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, -0.3141592653589793, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 0.0, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 0.3141592653589793, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 0.6283185307179586, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 0.9424777960769379, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 1.2566370614359172, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 1.5707963267948966, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 1.8849555921538759, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 2.199114857512855, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 2.5132741228718345, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 2.827433388230814, 0.007812499999999976
-3.141592653589793, 1.2566370614359172, 3.141592653589793, 0.007812499999999976
-3.141592653589793, 1.5707963267948966, -3.141592653589793, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -2.827433388230814, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -2.5132741228718345, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -2.199114857512855, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -1.8849555921538759, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -1.5707963267948966, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -1.2566370614359172, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -0.9424777960769379, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -0.6283185307179586, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, -0.3141592653589793, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 0.0, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 0.3141592653589793, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 0.6283185307179586, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 0.9424777960769379, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 1.2566370614359172, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 1.5707963267948966, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 1.8849555921538759, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 2.199114857512855, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 2.5132741228718345, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 2.827433388230814, 0.004559313554697359
-3.141592653589793, 1.5707963267948966, 3.141592653589793, 0.004559313554697359
-3.141592653589793, 1.8849555921538759, -3.141592653589793, 0.002176878515657845
-3.141592653589793, 1.8849555921538759, -2.827433388230814, 0.002176878515657845
-3.141592653589793, 1.8849555921538759, -2.5132741228718345, 0.002176878515657845
-3.141592653589793, 1.8849555921538759, -2.199114857512855, 0.002176878515657845
-3.141592653589793, 1.8849555921538759, -1.8849555921538759, 0.002176878515657845
-3.141592653589793, 1.8849555921538759, -1.5707963267948966, 0.002176878515657845
-3.141592653589793, 1.8849555921538759, -1.2566370614359172, 0.002176878515657845
